id;descripcion;precio_normal;precio_descuento;imagen_url;tallas;categoria
588;Tenis para niño deportivos;175990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
589;Bermuda para niño de tie dye;96990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
590;Conjunto para niño de camiseta + sudadera;95994.00;159990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
591;Conjunto para niño de camiseta + bermuda;149990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
592;Pantalón para niño con bolsillos;129990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
593;Camiseta para niño manga corta con gráfico en espalda;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
594;Conjunto para niño de camiseta + bermuda;83994.00;139990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
595;Camisa manga corta para niño;69594.00;115990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
596;Sandalias playeras para niño plásticas;91990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/853209/51104783-Blanco-10-0000_1.jpg?v=638515690599330000;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
597;Jean silueta slim para niño 5 bolsillos;139990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
598;Sandalias playeras para niño plásticas;91990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
599;Pijama para niño conjunto de camiseta manga corta + bermuda;95990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
600;Pijama para niño conjunto de camiseta manga larga + sudadera;105990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
601;Camiseta manga corta para niña;65990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
602;Pijama para niño conjunto de camiseta manga corta + bermuda;95990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
603;Pijama para niño conjunto de camiseta manga larga + pantalón;99990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
604;Pijama para niño conjunto de camiseta manga corta + bermuda;95990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
605;Pijama para niño conjunto de camiseta manga corta + sudadera;95990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
606;Pijama para niño conjunto de camiseta manga larga + pantalón;99990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
607;Pantalón parachute para niño;97993.00;139990.00;https://offcorss.vtexassets.com/arquivos/ids/854460/51270291-Negro-19-4008_1.jpg?v=638532400074330000;10, 12, 14, 16, 8;Niños
608;Tenis deportivos para niño;165990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/853239/51104791-Amarillo-11-0604_1.jpg?v=638515690716670000;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
609;Pijama para niño conjunto de camiseta manga corta + sudadera;95990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
610;Camiseta de baño manga larga para niño;76993.00;109990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
611;Camiseta de baño manga larga para niño;76993.00;109990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
612;Camisa manga corta para niño;69993.00;99990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
613;Camisa manga corta para niño;69993.00;99990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
614;Camiseta manga sisa para niño;34993.00;49990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
615;Camiseta manga sisa para niño;34993.00;49990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
616;Guayos para niño;129990.00;NULL;Imagen no disponible;25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35;Niños
617;Pantaloneta de baño para niño;90993.00;129990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
618;Sweater para niño;139990.00;NULL;Imagen no disponible;L, M, S;Niños
619;Pantaloneta de baño para niño;90993.00;129990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
620;Camiseta de baño manga larga para niño;76993.00;109990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
621;Camisa manga corta para niño;69993.00;99990.00;Imagen no disponible;10, 12, 14, 16, 8;Niños
622;Buzo cerrado con capucha para niño;129990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
623;Camiseta manga corta con estampado para niño;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
624;Camiseta oversize para niño;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
625;Conjunto de camiseta manga corta + bermuda para niño;165990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
626;Chaqueta clásica para niño;165990.00;NULL;Imagen no disponible;L, M, S;Niños
627;Tenis casuales mate para niño;159990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
